run_uid,case_uid,seed,part_size,part,edit,hybrid_iou,hybrid_ap,hybrid_area_ratio,fys_iou,fys_ap,fys_area_ratio,attention_iou,attention_ap,attention_area_ratio,hybrid_minus_fys_iou,hybrid_minus_fys_ap,area_ratio_reduction_vs_fys
real_0003_seed_001,real_0003,1,small,head,cheetah,0.7058823529411765,0.8876194045992306,0.8709677419354839,0.0447413633975605,0.0437145099936931,8.450038530696121,0.6919079435783222,0.9393947373210666,0.7562291292062676,0.661140989543616,0.8439048946055375,7.579070788760637
real_0003_seed_002,real_0003,2,small,head,cheetah,0.7058823529411765,0.8876194045992306,0.8709677419354839,0.0447413633975605,0.0437145099936931,8.450038530696121,0.6919079435783222,0.9393947373210666,0.7562291292062676,0.661140989543616,0.8439048946055375,7.579070788760637
real_0002_seed_000,real_0002,0,small,seat,mesh,0.21014492753623187,0.5169736549599202,4.758620689655173,0.0500401170473853,0.0518690194406593,10.349700293329931,0.1530196749358426,0.158721401864163,3.297538579262849,0.16010481048884656,0.4651046355192609,5.591079603674759
real_0002_seed_001,real_0002,1,small,seat,mesh,0.21014492753623187,0.5169736549599202,4.758620689655173,0.0500401170473853,0.0518690194406593,10.349700293329931,0.1530196749358426,0.158721401864163,3.297538579262849,0.16010481048884656,0.4651046355192609,5.591079603674759
real_0002_seed_002,real_0002,2,small,seat,mesh,0.21014492753623187,0.5169736549599202,4.758620689655173,0.0500401170473853,0.0518690194406593,10.349700293329931,0.1530196749358426,0.158721401864163,3.297538579262849,0.16010481048884656,0.4651046355192609,5.591079603674759
real_0008_seed_000,real_0008,0,small,head,bear,0.14204545454545456,0.7480116710357035,6.730769230769231,0.067138671875,0.159410611551875,14.894545454545456,0.0888676881016118,0.8512042014575373,11.0899604743083,0.07490678267045456,0.5886010594838286,8.163776223776225
real_0008_seed_001,real_0008,1,small,head,bear,0.14204545454545456,0.7480116710357035,6.730769230769231,0.067138671875,0.159410611551875,14.894545454545456,0.0888676881016118,0.8512042014575373,11.0899604743083,0.07490678267045456,0.5886010594838286,8.163776223776225
real_0008_seed_002,real_0008,2,small,head,bear,0.14204545454545456,0.7480116710357035,6.730769230769231,0.067138671875,0.159410611551875,14.894545454545456,0.0888676881016118,0.8512042014575373,11.0899604743083,0.07490678267045456,0.5886010594838286,8.163776223776225
real_0006_seed_000,real_0006,0,small,head,alien,0.05142857142857143,0.2928409049528952,19.444444444444443,0.029203869047619,0.242928112011141,34.24203821656051,0.0268590328467153,0.0559300978274938,37.231422505307854,0.02222470238095243,0.049912792941754214,14.797593772116066
real_0006_seed_001,real_0006,1,small,head,alien,0.05142857142857143,0.2928409049528952,19.444444444444443,0.029203869047619,0.242928112011141,34.24203821656051,0.0268590328467153,0.0559300978274938,37.231422505307854,0.02222470238095243,0.049912792941754214,14.797593772116066
real_0006_seed_002,real_0006,2,small,head,alien,0.05142857142857143,0.2928409049528952,19.444444444444443,0.029203869047619,0.242928112011141,34.24203821656051,0.0268590328467153,0.0559300978274938,37.231422505307854,0.02222470238095243,0.049912792941754214,14.797593772116066
