run_uid,case_uid,seed,part_size,part,edit,method,binary_iou,soft_ap,pred_to_gt_area_ratio,soft_inside_gt_mass
real_0010_seed_002,real_0010,2,medium,head,dragon,FLUX edit+part attention,0.2543571295664578,0.2959362809396346,3.836734693877551,0.1379225701093673
real_0004_seed_000,real_0004,0,medium,carhood,rusted,FYS-TDM,0.156007226738934,0.265688751958658,6.283437677859989,0.125813826918602
real_0004_seed_000,real_0004,0,medium,carhood,rusted,FLUX edit+part attention,0.1333945552033652,0.1635542760608126,4.443938531587934,0.085380271077156
real_0004_seed_001,real_0004,1,medium,carhood,rusted,FYS-TDM,0.156007226738934,0.265688751958658,6.283437677859989,0.125813826918602
real_0004_seed_001,real_0004,1,medium,carhood,rusted,FLUX edit+part attention,0.1333945552033652,0.1635542760608126,4.443938531587934,0.085380271077156
real_0004_seed_002,real_0004,2,medium,carhood,rusted,FYS-TDM,0.156007226738934,0.265688751958658,6.283437677859989,0.125813826918602
real_0004_seed_002,real_0004,2,medium,carhood,rusted,FLUX edit+part attention,0.1333945552033652,0.1635542760608126,4.443938531587934,0.085380271077156
real_0007_seed_000,real_0007,0,medium,seat,leather,FYS-TDM,0.1261694319532744,0.1350498289454021,3.532871012482663,0.1022251546382904
real_0007_seed_000,real_0007,0,medium,seat,leather,FLUX edit+part attention,0.4235768032226191,0.5533004302899358,1.5977808599167822,0.3138622343540191
real_0007_seed_001,real_0007,1,medium,seat,leather,FYS-TDM,0.1261694319532744,0.1350498289454021,3.532871012482663,0.1022251546382904
real_0007_seed_001,real_0007,1,medium,seat,leather,FLUX edit+part attention,0.4235768032226191,0.5533004302899358,1.5977808599167822,0.3138622343540191
real_0007_seed_002,real_0007,2,medium,seat,leather,FYS-TDM,0.1261694319532744,0.1350498289454021,3.532871012482663,0.1022251546382904
real_0007_seed_002,real_0007,2,medium,seat,leather,FLUX edit+part attention,0.4235768032226191,0.5533004302899358,1.5977808599167822,0.3138622343540191
real_0001_seed_000,real_0001,0,medium,head,cat,FYS-TDM,0.2643267132456767,0.4142310921444833,3.6181927791546658,0.1511312872171402
real_0001_seed_000,real_0001,0,medium,head,cat,FLUX edit+part attention,0.257393987725807,0.3409460218084543,3.858262442226539,0.1479603946208953
real_0001_seed_001,real_0001,1,medium,head,cat,FYS-TDM,0.2643267132456767,0.4142310921444833,3.6181927791546658,0.1511312872171402
real_0001_seed_001,real_0001,1,medium,head,cat,FLUX edit+part attention,0.257393987725807,0.3409460218084543,3.858262442226539,0.1479603946208953
real_0001_seed_002,real_0001,2,medium,head,cat,FYS-TDM,0.2643267132456767,0.4142310921444833,3.6181927791546658,0.1511312872171402
real_0001_seed_002,real_0001,2,medium,head,cat,FLUX edit+part attention,0.257393987725807,0.3409460218084543,3.858262442226539,0.1479603946208953
real_0000_seed_000,real_0000,0,large,torso,armored,FYS-TDM,0.2195180862575359,0.2359427879911775,4.29800629590766,0.1645899713039398
real_0000_seed_000,real_0000,0,large,torso,armored,FLUX edit+part attention,0.2199433327777723,0.3781865733039912,4.222791185729276,0.1769983917474746
real_0000_seed_001,real_0000,1,large,torso,armored,FYS-TDM,0.2195180862575359,0.2359427879911775,4.29800629590766,0.1645899713039398
real_0000_seed_001,real_0000,1,large,torso,armored,FLUX edit+part attention,0.2199433327777723,0.3781865733039912,4.222791185729276,0.1769983917474746
real_0000_seed_002,real_0000,2,large,torso,armored,FYS-TDM,0.2195180862575359,0.2359427879911775,4.29800629590766,0.1645899713039398
real_0000_seed_002,real_0000,2,large,torso,armored,FLUX edit+part attention,0.2199433327777723,0.3781865733039912,4.222791185729276,0.1769983917474746
real_0011_seed_000,real_0011,0,large,hair,curly_hair,FYS-TDM,0.1630822585224003,0.2009123704623378,4.972734436564224,0.1448481082916259
real_0011_seed_000,real_0011,0,large,hair,curly_hair,FLUX edit+part attention,0.568381718884737,0.7699559393739565,1.1498817966903074,0.3991388380527496
real_0011_seed_001,real_0011,1,large,hair,curly_hair,FYS-TDM,0.1630822585224003,0.2009123704623378,4.972734436564224,0.1448481082916259
real_0011_seed_001,real_0011,1,large,hair,curly_hair,FLUX edit+part attention,0.568381718884737,0.7699559393739565,1.1498817966903074,0.3991388380527496
real_0011_seed_002,real_0011,2,large,hair,curly_hair,FYS-TDM,0.1630822585224003,0.2009123704623378,4.972734436564224,0.1448481082916259
real_0011_seed_002,real_0011,2,large,hair,curly_hair,FLUX edit+part attention,0.568381718884737,0.7699559393739565,1.1498817966903074,0.3991388380527496
real_0005_seed_000,real_0005,0,large,head,dog,FYS-TDM,0.3416213681850815,0.3962989254130638,2.517613614536514,0.1987022012472152
real_0005_seed_000,real_0005,0,large,head,dog,FLUX edit+part attention,0.304170835674831,0.4721034738742617,2.6552956090814797,0.2476438581943512
real_0005_seed_001,real_0005,1,large,head,dog,FYS-TDM,0.3416213681850815,0.3962989254130638,2.517613614536514,0.1987022012472152
real_0005_seed_001,real_0005,1,large,head,dog,FLUX edit+part attention,0.304170835674831,0.4721034738742617,2.6552956090814797,0.2476438581943512
real_0005_seed_002,real_0005,2,large,head,dog,FYS-TDM,0.3416213681850815,0.3962989254130638,2.517613614536514,0.1987022012472152
real_0005_seed_002,real_0005,2,large,head,dog,FLUX edit+part attention,0.304170835674831,0.4721034738742617,2.6552956090814797,0.2476438581943512
real_0009_seed_000,real_0009,0,large,carbody,rusted,FYS-TDM,0.5083119151179649,0.6516052733499355,0.9800049744249671,0.510670006275177
real_0009_seed_000,real_0009,0,large,carbody,rusted,FLUX edit+part attention,0.6081806507750497,0.8146243998267195,1.4783125885393575,0.5846232771873474
real_0009_seed_001,real_0009,1,large,carbody,rusted,FYS-TDM,0.5083119151179649,0.6516052733499355,0.9800049744249671,0.510670006275177
real_0009_seed_001,real_0009,1,large,carbody,rusted,FLUX edit+part attention,0.6081806507750497,0.8146243998267195,1.4783125885393575,0.5846232771873474
real_0009_seed_002,real_0009,2,large,carbody,rusted,FYS-TDM,0.5083119151179649,0.6516052733499355,0.9800049744249671,0.510670006275177
real_0009_seed_002,real_0009,2,large,carbody,rusted,FLUX edit+part attention,0.6081806507750497,0.8146243998267195,1.4783125885393575,0.5846232771873474
real_0006_seed_000,real_0006,0,small,head,alien,Attention-gated TDM,0.05142857142857143,0.2928409049528952,19.444444444444443,0.05394426393258289
real_0006_seed_001,real_0006,1,small,head,alien,Attention-gated TDM,0.05142857142857143,0.2928409049528952,19.444444444444443,0.05394426393258289
real_0006_seed_002,real_0006,2,small,head,alien,Attention-gated TDM,0.05142857142857143,0.2928409049528952,19.444444444444443,0.05394426393258289
real_0008_seed_000,real_0008,0,small,head,bear,Attention-gated TDM,0.14204545454545456,0.7480116710357035,6.730769230769231,0.15432095272048882
real_0008_seed_001,real_0008,1,small,head,bear,Attention-gated TDM,0.14204545454545456,0.7480116710357035,6.730769230769231,0.15432095272048882
real_0008_seed_002,real_0008,2,small,head,bear,Attention-gated TDM,0.14204545454545456,0.7480116710357035,6.730769230769231,0.15432095272048882
real_0003_seed_000,real_0003,0,small,head,cheetah,Attention-gated TDM,0.7058823529411765,0.8876194045992306,0.8709677419354839,0.17063449149960738
real_0003_seed_001,real_0003,1,small,head,cheetah,Attention-gated TDM,0.7058823529411765,0.8876194045992306,0.8709677419354839,0.17063449149960738
real_0003_seed_002,real_0003,2,small,head,cheetah,Attention-gated TDM,0.7058823529411765,0.8876194045992306,0.8709677419354839,0.17063449149960738
real_0002_seed_000,real_0002,0,small,seat,mesh,Attention-gated TDM,0.21014492753623187,0.5169736549599202,4.758620689655173,0.15895865929232034
real_0002_seed_001,real_0002,1,small,seat,mesh,Attention-gated TDM,0.21014492753623187,0.5169736549599202,4.758620689655173,0.15895865929232034
real_0002_seed_002,real_0002,2,small,seat,mesh,Attention-gated TDM,0.21014492753623187,0.5169736549599202,4.758620689655173,0.15895865929232034
real_0010_seed_000,real_0010,0,medium,head,dragon,Attention-gated TDM,0.23979591836734693,0.6187982652571267,4.170212765957447,0.17932324181337994
real_0010_seed_001,real_0010,1,medium,head,dragon,Attention-gated TDM,0.23979591836734693,0.6187982652571267,4.170212765957447,0.17932324181337994
real_0010_seed_002,real_0010,2,medium,head,dragon,Attention-gated TDM,0.23979591836734693,0.6187982652571267,4.170212765957447,0.17932324181337994
real_0004_seed_000,real_0004,0,medium,carhood,rusted,Attention-gated TDM,0.2009132420091324,0.21249729506172244,4.1568627450980395,0.14512210338753817
real_0004_seed_001,real_0004,1,medium,carhood,rusted,Attention-gated TDM,0.2009132420091324,0.21249729506172244,4.1568627450980395,0.14512210338753817
real_0004_seed_002,real_0004,2,medium,carhood,rusted,Attention-gated TDM,0.2009132420091324,0.21249729506172244,4.1568627450980395,0.14512210338753817
real_0007_seed_000,real_0007,0,medium,seat,leather,Attention-gated TDM,0.3475177304964539,0.4501776741433939,2.392857142857143,0.29802437319527864
real_0007_seed_001,real_0007,1,medium,seat,leather,Attention-gated TDM,0.3475177304964539,0.4501776741433939,2.392857142857143,0.29802437319527864
real_0007_seed_002,real_0007,2,medium,seat,leather,Attention-gated TDM,0.3475177304964539,0.4501776741433939,2.392857142857143,0.29802437319527864
real_0001_seed_000,real_0001,0,medium,head,cat,Attention-gated TDM,0.31952662721893493,0.4612639191903623,2.7796610169491527,0.2533021918726012
real_0001_seed_001,real_0001,1,medium,head,cat,Attention-gated TDM,0.31952662721893493,0.4612639191903623,2.7796610169491527,0.2533021918726012
real_0001_seed_002,real_0001,2,medium,head,cat,Attention-gated TDM,0.31952662721893493,0.4612639191903623,2.7796610169491527,0.2533021918726012
real_0000_seed_000,real_0000,0,large,torso,armored,Attention-gated TDM,0.2563380281690141,0.35120240903306843,3.597938144329897,0.23585099629073702
real_0000_seed_001,real_0000,1,large,torso,armored,Attention-gated TDM,0.2563380281690141,0.35120240903306843,3.597938144329897,0.23585099629073702
real_0000_seed_002,real_0000,2,large,torso,armored,Attention-gated TDM,0.2563380281690141,0.35120240903306843,3.597938144329897,0.23585099629073702
real_0011_seed_000,real_0011,0,large,hair,curly_hair,Attention-gated TDM,0.6027397260273972,0.7341092403315582,1.4123711340206186,0.4198496293832039
real_0011_seed_001,real_0011,1,large,hair,curly_hair,Attention-gated TDM,0.6027397260273972,0.7341092403315582,1.4123711340206186,0.4198496293832039
real_0011_seed_002,real_0011,2,large,hair,curly_hair,Attention-gated TDM,0.6027397260273972,0.7341092403315582,1.4123711340206186,0.4198496293832039
real_0005_seed_000,real_0005,0,large,head,dog,Attention-gated TDM,0.44370860927152317,0.48995446616978955,1.1584158415841583,0.3593649598369049
real_0005_seed_001,real_0005,1,large,head,dog,Attention-gated TDM,0.44370860927152317,0.48995446616978955,1.1584158415841583,0.3593649598369049
real_0005_seed_002,real_0005,2,large,head,dog,Attention-gated TDM,0.44370860927152317,0.48995446616978955,1.1584158415841583,0.3593649598369049
real_0009_seed_000,real_0009,0,large,carbody,rusted,Attention-gated TDM,0.6572164948453608,0.8933125135377868,0.7910863509749304,0.7262454850675545
real_0009_seed_001,real_0009,1,large,carbody,rusted,Attention-gated TDM,0.6572164948453608,0.8933125135377868,0.7910863509749304,0.7262454850675545
real_0009_seed_002,real_0009,2,large,carbody,rusted,Attention-gated TDM,0.6572164948453608,0.8933125135377868,0.7910863509749304,0.7262454850675545
