contrast,metric,difference,ci_low,ci_high,cases
RK2 - Endpoint (auto),strict_outside_mask_global_ssim,0.0015864502175226836,0.0007868848906914614,0.0024783355899863045,59
RK2 - Endpoint (GT),strict_outside_mask_global_ssim,0.00015191592234727448,-0.00029424236388589126,0.0005327270600213505,59
Mask-by-controller interaction,strict_outside_mask_global_ssim,-0.0014345342951754092,-0.002472295161702004,-0.0004998756931903212,59
RK2 N15 - N7 (auto),strict_outside_mask_global_ssim,0.012904399464287534,0.011192889851765713,0.014735530780819555,59
RK2 N15 - N7 (GT),strict_outside_mask_global_ssim,0.011728424561066304,0.01020965880867234,0.013343674199860291,59
Endpoint GT - auto,strict_inside_mask_global_ssim,-0.008552784192791372,-0.02916697885342961,0.013443112234534142,59
RK2 GT - auto,strict_inside_mask_global_ssim,-0.005962702760691909,-0.0295822032329286,0.01871563216166204,59
RK2 - Endpoint (auto),strict_inside_mask_global_ssim,0.008951474055570499,7.467998980254007e-05,0.016851832865063487,59
RK2 - Endpoint (GT),strict_inside_mask_global_ssim,0.01154155548766996,0.0011464488771084367,0.022108073240188122,59
Mask-by-controller interaction,strict_inside_mask_global_ssim,0.0025900814320994636,-0.008280225951869433,0.013502477617334419,59
RK2 N15 - N7 (auto),strict_inside_mask_global_ssim,0.024647778928398045,0.019579398113090517,0.03032323715765462,59
RK2 N15 - N7 (GT),strict_inside_mask_global_ssim,0.012744149649421875,0.009566364982937966,0.016670153779386913,59
Endpoint GT - auto,strict_outside_mask_lpips,-0.02300928501506983,-0.030638830068568566,-0.015819726301893846,59
RK2 GT - auto,strict_outside_mask_lpips,-0.02142511270308898,-0.02834525670603674,-0.014943583349113252,59
RK2 - Endpoint (auto),strict_outside_mask_lpips,-0.0015360103067705245,-0.0026971707641447154,-0.0004498672119136475,59
RK2 - Endpoint (GT),strict_outside_mask_lpips,4.816200521033006e-05,-0.0013767446533350586,0.0019269546288681236,59
Mask-by-controller interaction,strict_outside_mask_lpips,0.0015841723119808554,1.9783753964781028e-06,0.003307665297288005,59
RK2 N15 - N7 (auto),strict_outside_mask_lpips,-0.07809651731434515,-0.08659179725139639,-0.07018059519281358,59
RK2 N15 - N7 (GT),strict_outside_mask_lpips,-0.07945529577101312,-0.08748964293370559,-0.07207069287196956,59
Endpoint GT - auto,buffered_outside_mask_l1_aux,-0.004143187586786384,-0.005477243218713009,-0.002912504835275277,59
RK2 GT - auto,buffered_outside_mask_l1_aux,-0.003567868906815181,-0.004787664648571644,-0.0024403380762817316,59
RK2 - Endpoint (auto),buffered_outside_mask_l1_aux,-0.000480835231305178,-0.0007000013732082961,-0.00028073887017128507,59
RK2 - Endpoint (GT),buffered_outside_mask_l1_aux,9.448344866602553e-05,-1.0092108968201925e-05,0.0002512783009432633,59
Mask-by-controller interaction,buffered_outside_mask_l1_aux,0.0005753186799712036,0.0003497577086880306,0.0008327123247307911,59
RK2 N15 - N7 (auto),buffered_outside_mask_l1_aux,-0.011815067057071605,-0.012994921984450928,-0.010693619298448758,59
RK2 N15 - N7 (GT),buffered_outside_mask_l1_aux,-0.0116209226849852,-0.012778755077121437,-0.010520109185214956,59
Endpoint GT - auto,buffered_inside_mask_l1_aux,-0.0056703589162079,-0.010257035559358994,-0.0010748784326143148,59
RK2 GT - auto,buffered_inside_mask_l1_aux,-0.007238580734800477,-0.012085999924121252,-0.0024821397169666674,59
RK2 - Endpoint (auto),buffered_inside_mask_l1_aux,-0.0013468748242673274,-0.0024377512856055094,-9.790899752940115e-05,59
RK2 - Endpoint (GT),buffered_inside_mask_l1_aux,-0.0029150966428599036,-0.005058176996249504,-0.000892116808948116,59
Mask-by-controller interaction,buffered_inside_mask_l1_aux,-0.0015682218185925755,-0.0036287481936041976,0.0003997994018560812,59
RK2 N15 - N7 (auto),buffered_inside_mask_l1_aux,-0.013950279866487286,-0.015098632148356501,-0.012851671991727735,59
RK2 N15 - N7 (GT),buffered_inside_mask_l1_aux,-0.012353919162336045,-0.013464366834042438,-0.011296164903442494,59
Endpoint GT - auto,buffered_outside_mask_mse,-0.0012084034087049612,-0.0016507244035645992,-0.000813259949482942,59
RK2 GT - auto,buffered_outside_mask_mse,-0.0010279845466079594,-0.0014261252535368919,-0.000674939728467777,59
RK2 - Endpoint (auto),buffered_outside_mask_mse,-0.00017310805881190502,-0.0002633128653480671,-9.411892369518066e-05,59
RK2 - Endpoint (GT),buffered_outside_mask_mse,7.310803285096624e-06,-6.75041001621287e-06,2.8308444869527298e-05,59
Mask-by-controller interaction,buffered_outside_mask_mse,0.00018041886209700168,0.00010074557757727375,0.0002710556967200732,59
RK2 N15 - N7 (auto),buffered_outside_mask_mse,-0.0011024210902702428,-0.0012826353472257248,-0.0009369225087862969,59
RK2 N15 - N7 (GT),buffered_outside_mask_mse,-0.0009526293463334077,-0.001105845237700909,-0.0008119100956426209,59
Endpoint GT - auto,buffered_inside_mask_mse,-0.002767024778808324,-0.0046658349800578645,-0.0009029436571389396,59
RK2 GT - auto,buffered_inside_mask_mse,-0.0032156732917952642,-0.005174156191923564,-0.0013433134682245614,59
RK2 - Endpoint (auto),buffered_inside_mask_mse,-0.0005697431605135695,-0.0009965064090881946,-0.00012931914243381973,59
RK2 - Endpoint (GT),buffered_inside_mask_mse,-0.0010183916735005101,-0.0018059506220151095,-0.00029203810944159684,59
Mask-by-controller interaction,buffered_inside_mask_mse,-0.0004486485129869405,-0.0012191385033952682,0.0003095775042557997,59
RK2 N15 - N7 (auto),buffered_inside_mask_mse,-0.0022164124312763255,-0.002529965622362407,-0.0019319967281663294,59
RK2 N15 - N7 (GT),buffered_inside_mask_mse,-0.0018039243867999661,-0.002084828193903248,-0.0015536816045839108,59
Endpoint GT - auto,buffered_outside_mask_psnr,2.460597617621132,1.809391399851935,3.13985604716474,59
RK2 GT - auto,buffered_outside_mask_psnr,2.2000909020005794,1.5831546967504824,2.850044656910719,59
RK2 - Endpoint (auto),buffered_outside_mask_psnr,0.2400892520824348,0.1408192207108957,0.35352785325059727,59
RK2 - Endpoint (GT),buffered_outside_mask_psnr,-0.02041746353811761,-0.0911089955832775,0.028424633115342674,59
Mask-by-controller interaction,buffered_outside_mask_psnr,-0.2605067156205524,-0.3927438288543897,-0.14444490429282772,59
RK2 N15 - N7 (auto),buffered_outside_mask_psnr,5.235948460999604,4.4706720506501165,6.001585785843795,59
RK2 N15 - N7 (GT),buffered_outside_mask_psnr,8.712049489828328,8.136479099914144,9.306874695764561,59
Endpoint GT - auto,buffered_inside_mask_psnr,0.651584519105593,0.05451139347614889,1.2466358551670043,59
RK2 GT - auto,buffered_inside_mask_psnr,0.8751505784126772,0.23222716251321088,1.5130148430344614,59
RK2 - Endpoint (auto),buffered_inside_mask_psnr,0.19239830751191073,-0.00735661259411548,0.3854049634848802,59
RK2 - Endpoint (GT),buffered_inside_mask_psnr,0.4159643668189949,0.12230144491330086,0.7330556313634469,59
Mask-by-controller interaction,buffered_inside_mask_psnr,0.2235660593070842,-0.010377571233483969,0.4736277828406431,59
RK2 N15 - N7 (auto),buffered_inside_mask_psnr,1.3352004019700754,1.1123955793466478,1.5721567825422111,59
RK2 N15 - N7 (GT),buffered_inside_mask_psnr,1.3651736870829327,1.141133067243538,1.6088848546956627,59
Endpoint GT - auto,buffered_outside_mask_global_ssim,0.013083246151394494,0.008645161121922752,0.0181330250836049,59
RK2 GT - auto,buffered_outside_mask_global_ssim,0.011274106704310775,0.007283883921297008,0.015911532702708897,59
RK2 - Endpoint (auto),buffered_outside_mask_global_ssim,0.0017245304340421516,0.0009050418074783628,0.002646946728820402,59
RK2 - Endpoint (GT),buffered_outside_mask_global_ssim,-8.460901304156697e-05,-0.0003296386529442519,8.528390300762152e-05,59
Mask-by-controller interaction,buffered_outside_mask_global_ssim,-0.0018091394470837185,-0.0027744004571014294,-0.0009702156926045467,59
RK2 N15 - N7 (auto),buffered_outside_mask_global_ssim,0.012306244975469002,0.01055204560944942,0.014189140613473147,59
RK2 N15 - N7 (GT),buffered_outside_mask_global_ssim,0.010734222558361666,0.009252589695856314,0.012332931071975589,59
Endpoint GT - auto,buffered_inside_mask_global_ssim,0.019985709014009548,0.00650958561468034,0.03385021143656035,59
RK2 GT - auto,buffered_inside_mask_global_ssim,0.023321537846869436,0.010129747826529503,0.037455769792614585,59
RK2 - Endpoint (auto),buffered_inside_mask_global_ssim,0.0041245951035182825,0.0005230490232895906,0.007340488964447809,59
RK2 - Endpoint (GT),buffered_inside_mask_global_ssim,0.007460423936378168,0.0016178625323747344,0.013683137484472183,59
Mask-by-controller interaction,buffered_inside_mask_global_ssim,0.0033358288328598847,-0.0027113566293591284,0.009493476360533992,59
RK2 N15 - N7 (auto),buffered_inside_mask_global_ssim,0.018142395316890474,0.015629517066227734,0.020944700358870562,59
