run_uid,case_uid,seed,part_size,part,edit,gt_area,pred_tdm_area,pred_to_gt_area_ratio,binary_iou,soft_ap,soft_inside_gt_mass,outside_mask_l1_aux,inside_mask_l1_aux,outside_mask_mse,inside_mask_mse,outside_mask_psnr,inside_mask_psnr,outside_mask_global_ssim,inside_mask_global_ssim,outside_mask_lpips,source_image,gt_mask,fys_image,binary_tdm_path,smoothed_tdm_path
real_0000_seed_000,real_0000,0,large,torso,armored,0.09088516235351562,0.390625,4.29800629590766,0.21951808625753594,0.2359427879911775,0.16458997130393982,0.04651878774166107,0.100053571164608,0.010533728636801243,0.030114177614450455,19.77417873851882,15.212289924430243,0.8839640021324158,0.8097305297851562,0.2096026241779327,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/follow_your_shape/real_0000/seed_000/img_0.jpg,core/results/follow_your_shape/real_0000/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0000/seed_000/tdm/smoothed_soft_tdm.npy
real_0000_seed_001,real_0000,1,large,torso,armored,0.09088516235351562,0.390625,4.29800629590766,0.21951808625753594,0.2359427879911775,0.16458997130393982,0.04651878774166107,0.100053571164608,0.010533728636801243,0.030114177614450455,19.77417873851882,15.212289924430243,0.8839640021324158,0.8097305297851562,0.2096026241779327,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/follow_your_shape/real_0000/seed_001/img_0.jpg,core/results/follow_your_shape/real_0000/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0000/seed_001/tdm/smoothed_soft_tdm.npy
real_0000_seed_002,real_0000,2,large,torso,armored,0.09088516235351562,0.390625,4.29800629590766,0.21951808625753594,0.2359427879911775,0.16458997130393982,0.04651878774166107,0.100053571164608,0.010533728636801243,0.030114177614450455,19.77417873851882,15.212289924430243,0.8839640021324158,0.8097305297851562,0.2096026241779327,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/follow_your_shape/real_0000/seed_002/img_0.jpg,core/results/follow_your_shape/real_0000/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0000/seed_002/tdm/smoothed_soft_tdm.npy
real_0011_seed_000,real_0011,0,large,hair,curly_hair,0.0968170166015625,0.4814453125,4.972734436564224,0.16308225852240033,0.20091237046233784,0.14484810829162598,0.05228152498602867,0.10716385394334793,0.007190735079348087,0.01956469938158989,21.43226711204498,17.085268207977858,0.9498619437217712,0.8009711503982544,0.1913739591836929,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/results/follow_your_shape/real_0011/seed_000/img_0.jpg,core/results/follow_your_shape/real_0011/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0011/seed_000/tdm/smoothed_soft_tdm.npy
real_0011_seed_001,real_0011,1,large,hair,curly_hair,0.0968170166015625,0.4814453125,4.972734436564224,0.16308225852240033,0.20091237046233784,0.14484810829162598,0.05228152498602867,0.10716385394334793,0.007190735079348087,0.01956469938158989,21.43226711204498,17.085268207977858,0.9498619437217712,0.8009711503982544,0.1913739591836929,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/results/follow_your_shape/real_0011/seed_001/img_0.jpg,core/results/follow_your_shape/real_0011/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0011/seed_001/tdm/smoothed_soft_tdm.npy
real_0011_seed_002,real_0011,2,large,hair,curly_hair,0.0968170166015625,0.4814453125,4.972734436564224,0.16308225852240033,0.20091237046233784,0.14484810829162598,0.05228152498602867,0.10716385394334793,0.007190735079348087,0.01956469938158989,21.43226711204498,17.085268207977858,0.9498619437217712,0.8009711503982544,0.1913739591836929,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/results/follow_your_shape/real_0011/seed_002/img_0.jpg,core/results/follow_your_shape/real_0011/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0011/seed_002/tdm/smoothed_soft_tdm.npy
real_0005_seed_000,real_0005,0,large,head,dog,0.09930038452148438,0.25,2.517613614536514,0.34162136818508154,0.3962989254130638,0.19870220124721527,0.06706960499286652,0.1389722228050232,0.009228191338479519,0.030921030789613724,20.348834093411966,15.097460367854262,0.9145687818527222,0.6051358580589294,0.1863462626934051,core/data/partedit_subset/cases/real_0005/source.png,core/data/partedit_subset/cases/real_0005/gt_mask.png,core/results/follow_your_shape/real_0005/seed_000/img_0.jpg,core/results/follow_your_shape/real_0005/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0005/seed_000/tdm/smoothed_soft_tdm.npy
real_0005_seed_001,real_0005,1,large,head,dog,0.09930038452148438,0.25,2.517613614536514,0.34162136818508154,0.3962989254130638,0.19870220124721527,0.06706960499286652,0.1389722228050232,0.009228191338479519,0.030921030789613724,20.348834093411966,15.097460367854262,0.9145687818527222,0.6051358580589294,0.1863462626934051,core/data/partedit_subset/cases/real_0005/source.png,core/data/partedit_subset/cases/real_0005/gt_mask.png,core/results/follow_your_shape/real_0005/seed_001/img_0.jpg,core/results/follow_your_shape/real_0005/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0005/seed_001/tdm/smoothed_soft_tdm.npy
real_0005_seed_002,real_0005,2,large,head,dog,0.09930038452148438,0.25,2.517613614536514,0.34162136818508154,0.3962989254130638,0.19870220124721527,0.06706960499286652,0.1389722228050232,0.009228191338479519,0.030921030789613724,20.348834093411966,15.097460367854262,0.9145687818527222,0.6051358580589294,0.1863462626934051,core/data/partedit_subset/cases/real_0005/source.png,core/data/partedit_subset/cases/real_0005/gt_mask.png,core/results/follow_your_shape/real_0005/seed_002/img_0.jpg,core/results/follow_your_shape/real_0005/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0005/seed_002/tdm/smoothed_soft_tdm.npy
real_0009_seed_000,real_0009,0,large,carbody,rusted,0.3527565002441406,0.345703125,0.9800049744249673,0.5083119151179649,0.6516052733499355,0.510670006275177,0.03735116869211197,0.07396909594535828,0.004892983008176088,0.01312248408794403,23.104262924085013,18.819839451761137,0.9597668647766113,0.847370445728302,0.1498986184597015,core/data/partedit_subset/cases/real_0009/source.png,core/data/partedit_subset/cases/real_0009/gt_mask.png,core/results/follow_your_shape/real_0009/seed_000/img_0.jpg,core/results/follow_your_shape/real_0009/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0009/seed_000/tdm/smoothed_soft_tdm.npy
real_0009_seed_001,real_0009,1,large,carbody,rusted,0.3527565002441406,0.345703125,0.9800049744249673,0.5083119151179649,0.6516052733499355,0.510670006275177,0.03735116869211197,0.07396909594535828,0.004892983008176088,0.01312248408794403,23.104262924085013,18.819839451761137,0.9597668647766113,0.847370445728302,0.1498986184597015,core/data/partedit_subset/cases/real_0009/source.png,core/data/partedit_subset/cases/real_0009/gt_mask.png,core/results/follow_your_shape/real_0009/seed_001/img_0.jpg,core/results/follow_your_shape/real_0009/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0009/seed_001/tdm/smoothed_soft_tdm.npy
real_0009_seed_002,real_0009,2,large,carbody,rusted,0.3527565002441406,0.345703125,0.9800049744249673,0.5083119151179649,0.6516052733499355,0.510670006275177,0.03735116869211197,0.07396909594535828,0.004892983008176088,0.01312248408794403,23.104262924085013,18.819839451761137,0.9597668647766113,0.847370445728302,0.1498986184597015,core/data/partedit_subset/cases/real_0009/source.png,core/data/partedit_subset/cases/real_0009/gt_mask.png,core/results/follow_your_shape/real_0009/seed_002/img_0.jpg,core/results/follow_your_shape/real_0009/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0009/seed_002/tdm/smoothed_soft_tdm.npy
