case_uid,method,part_size,part,footprint_change,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
synth_0020,rk2_auto,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0020,rk2_gt,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0020,rk2_n15_auto,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0020,rk2_n15_gt,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0021,endpoint_auto,large,hair,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0021,endpoint_gt,large,hair,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0021,rk2_auto,large,hair,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0021,rk2_gt,large,hair,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0021,rk2_n15_auto,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0021,rk2_n15_gt,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0022,endpoint_auto,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0022,endpoint_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0022,rk2_auto,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0022,rk2_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0022,rk2_n15_auto,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0022,rk2_n15_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0023,endpoint_auto,small,hair,comparable,2.0,1.5,1.5,2.0,1.0,0.5
synth_0023,endpoint_gt,small,hair,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0023,rk2_auto,small,hair,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0023,rk2_gt,small,hair,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0023,rk2_n15_auto,small,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0023,rk2_n15_gt,small,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0024,endpoint_auto,large,hair,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0024,endpoint_gt,large,hair,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0024,rk2_auto,large,hair,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0024,rk2_gt,large,hair,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0024,rk2_n15_auto,large,hair,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0024,rk2_n15_gt,large,hair,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0025,endpoint_auto,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0025,endpoint_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0025,rk2_auto,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0025,rk2_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0025,rk2_n15_auto,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0025,rk2_n15_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0026,endpoint_auto,small,hair,expansion,2.0,1.0,2.0,2.0,1.0,0.0
synth_0026,endpoint_gt,small,hair,expansion,1.5,1.0,1.5,2.0,1.0,0.0
synth_0026,rk2_auto,small,hair,expansion,2.0,1.0,2.0,2.0,1.0,0.0
synth_0026,rk2_gt,small,hair,expansion,2.0,1.0,2.0,2.0,1.0,0.0
synth_0026,rk2_n15_auto,small,hair,expansion,2.0,2.0,2.0,2.0,1.0,1.0
synth_0026,rk2_n15_gt,small,hair,expansion,1.0,2.0,1.5,2.0,0.5,0.5
synth_0027,endpoint_auto,large,hair,comparable,2.0,1.5,1.5,2.0,1.0,0.5
synth_0027,endpoint_gt,large,hair,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0027,rk2_auto,large,hair,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0027,rk2_gt,large,hair,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0027,rk2_n15_auto,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0027,rk2_n15_gt,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0028,endpoint_auto,small,head,comparable,0.0,1.0,1.0,2.0,0.0,0.0
synth_0028,endpoint_gt,small,head,comparable,0.0,1.0,1.0,2.0,0.0,0.0
synth_0028,rk2_auto,small,head,comparable,0.0,1.0,1.5,2.0,0.0,0.0
synth_0028,rk2_gt,small,head,comparable,0.0,1.0,1.0,2.0,0.0,0.0
synth_0028,rk2_n15_auto,small,head,comparable,0.0,2.0,1.5,2.0,0.0,0.0
synth_0028,rk2_n15_gt,small,head,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0029,endpoint_auto,small,head,expansion,1.0,1.0,1.0,2.0,1.0,0.0
synth_0029,endpoint_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0029,rk2_auto,small,head,expansion,1.0,1.0,1.0,2.0,1.0,0.0
synth_0029,rk2_gt,small,head,expansion,0.0,1.5,1.0,2.0,0.0,0.0
synth_0029,rk2_n15_auto,small,head,expansion,0.5,1.0,1.0,2.0,0.5,0.0
synth_0029,rk2_n15_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0030,endpoint_auto,small,head,contraction,0.0,1.5,1.0,2.0,0.0,0.0
synth_0030,endpoint_gt,small,head,contraction,0.5,1.5,1.0,2.0,0.5,0.0
synth_0030,rk2_auto,small,head,contraction,1.0,1.5,1.0,2.0,0.5,0.5
synth_0030,rk2_gt,small,head,contraction,0.0,1.0,1.0,2.0,0.0,0.0
synth_0030,rk2_n15_auto,small,head,contraction,0.0,2.0,1.0,2.0,0.0,0.0
synth_0030,rk2_n15_gt,small,head,contraction,0.5,2.0,1.5,2.0,0.5,0.0
synth_0031,endpoint_auto,medium,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0031,endpoint_gt,medium,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0031,rk2_auto,medium,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0031,rk2_gt,medium,head,expansion,0.0,1.5,1.5,2.0,0.0,0.0
synth_0031,rk2_n15_auto,medium,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0031,rk2_n15_gt,medium,head,expansion,1.0,2.0,1.0,2.0,0.5,0.5
synth_0032,endpoint_auto,small,head,expansion,0.5,2.0,1.0,2.0,0.5,0.0
synth_0032,endpoint_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0032,rk2_auto,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0032,rk2_gt,small,head,expansion,0.5,2.0,1.0,2.0,0.5,0.0
synth_0032,rk2_n15_auto,small,head,expansion,0.5,2.0,1.5,2.0,0.5,0.0
synth_0032,rk2_n15_gt,small,head,expansion,0.5,2.0,1.0,2.0,0.5,0.0
synth_0033,endpoint_auto,medium,head,comparable,0.0,0.5,1.0,2.0,0.0,0.0
synth_0033,endpoint_gt,medium,head,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0033,rk2_auto,medium,head,comparable,0.0,0.5,1.0,2.0,0.0,0.0
synth_0033,rk2_gt,medium,head,comparable,0.0,1.5,1.0,2.0,0.0,0.0
synth_0033,rk2_n15_auto,medium,head,comparable,0.0,0.5,1.0,2.0,0.0,0.0
synth_0033,rk2_n15_gt,medium,head,comparable,0.0,1.5,1.5,2.0,0.0,0.0
synth_0034,endpoint_auto,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0034,endpoint_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0034,rk2_auto,small,head,expansion,0.5,2.0,1.0,2.0,0.5,0.0
synth_0034,rk2_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0034,rk2_n15_auto,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0034,rk2_n15_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0035,endpoint_auto,small,head,expansion,1.5,1.5,1.5,2.0,1.0,0.5
synth_0035,endpoint_gt,small,head,expansion,1.0,1.5,1.0,2.0,1.0,0.0
synth_0035,rk2_auto,small,head,expansion,1.0,1.0,1.0,2.0,1.0,0.0
synth_0035,rk2_gt,small,head,expansion,0.5,2.0,1.0,2.0,0.5,0.0
synth_0035,rk2_n15_auto,small,head,expansion,1.5,2.0,1.5,2.0,1.0,0.5
synth_0035,rk2_n15_gt,small,head,expansion,0.0,2.0,0.5,2.0,0.0,0.0
synth_0036,endpoint_auto,medium,head,comparable,0.5,2.0,1.0,2.0,0.5,0.0
synth_0036,endpoint_gt,medium,head,comparable,1.5,2.0,1.5,2.0,1.0,0.5
synth_0036,rk2_auto,medium,head,comparable,0.5,2.0,1.0,2.0,0.5,0.0
synth_0036,rk2_gt,medium,head,comparable,1.5,2.0,1.5,2.0,1.0,0.5
synth_0036,rk2_n15_auto,medium,head,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0036,rk2_n15_gt,medium,head,comparable,1.0,2.0,1.5,2.0,0.5,0.5
synth_0037,endpoint_auto,small,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0037,endpoint_gt,small,head,expansion,0.0,2.0,1.5,2.0,0.0,0.0
synth_0037,rk2_auto,small,head,expansion,0.0,2.0,1.5,2.0,0.0,0.0
synth_0037,rk2_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0037,rk2_n15_auto,small,head,expansion,0.0,2.0,1.5,2.0,0.0,0.0
synth_0037,rk2_n15_gt,small,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0038,endpoint_auto,large,head,expansion,0.0,1.5,1.5,2.0,0.0,0.0
synth_0038,endpoint_gt,large,head,expansion,0.5,2.0,1.0,2.0,0.5,0.0
synth_0038,rk2_auto,large,head,expansion,0.0,2.0,1.0,2.0,0.0,0.0
synth_0038,rk2_gt,large,head,expansion,0.5,2.0,1.5,2.0,0.5,0.0
synth_0038,rk2_n15_auto,large,head,expansion,0.0,1.5,1.0,2.0,0.0,0.0
synth_0038,rk2_n15_gt,large,head,expansion,0.5,2.0,1.0,2.0,0.5,0.0
synth_0039,endpoint_auto,small,head,expansion,2.0,1.0,2.0,2.0,1.0,0.0
synth_0039,endpoint_gt,small,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0039,rk2_auto,small,head,expansion,1.5,1.0,2.0,2.0,1.0,0.0
synth_0039,rk2_gt,small,head,expansion,0.0,1.0,1.0,2.0,0.0,0.0
synth_0039,rk2_n15_auto,small,head,expansion,2.0,1.0,2.0,2.0,1.0,0.0
synth_0039,rk2_n15_gt,small,head,expansion,0.0,2.0,1.5,2.0,0.0,0.0
synth_0040,endpoint_auto,small,head,comparable,1.0,1.0,1.0,2.0,1.0,0.0
synth_0040,endpoint_gt,small,head,comparable,1.5,1.5,1.5,2.0,1.0,0.0
synth_0040,rk2_auto,small,head,comparable,1.0,1.0,1.5,2.0,1.0,0.0
synth_0040,rk2_gt,small,head,comparable,1.0,1.0,1.0,2.0,1.0,0.0
synth_0040,rk2_n15_auto,small,head,comparable,1.0,2.0,1.5,2.0,1.0,0.0
synth_0040,rk2_n15_gt,small,head,comparable,1.0,2.0,1.5,2.0,1.0,0.0
synth_0041,endpoint_auto,medium,head,expansion,1.0,2.0,1.5,2.0,1.0,0.0
synth_0041,endpoint_gt,medium,head,expansion,1.0,2.0,1.0,2.0,1.0,0.0
synth_0041,rk2_auto,medium,head,expansion,1.0,2.0,1.0,2.0,1.0,0.0
synth_0041,rk2_gt,medium,head,expansion,1.0,2.0,1.5,2.0,1.0,0.0
synth_0041,rk2_n15_auto,medium,head,expansion,1.0,2.0,1.5,2.0,1.0,0.0
synth_0041,rk2_n15_gt,medium,head,expansion,1.0,2.0,1.0,2.0,1.0,0.0
synth_0042,endpoint_auto,medium,head,comparable,0.0,0.5,0.5,2.0,0.0,0.0
synth_0042,endpoint_gt,medium,head,comparable,0.0,1.5,1.0,2.0,0.0,0.0
